review,rating,sentiment
"재밌습니다,",4,positive
아마존의 성장비결을 알 수 있는 책. 저자가 자아를 찾기까지 12년은 너무 길지 않았나싶다,3,neutral
잘봤어요,3,neutral
주인공이 별로 매력없음,2,negative
잘봤습니다,5,positive
새로운 시리즈물 탄생인가요~~~,4,positive
만족합니다,4,positive
사건이 마무리 안됐는데 책을 끝내면 우짜자는 거지.. 낚인 기분,2,negative
볼만은 해요,3,neutral
열린결말이 아니라 쓰다만것 같아요.,3,neutral
잘 읽었답니다,2,negative
재미가 없고 허술해요. 특히 결말이 대충이라서 별로였어요.,1,negative
결말이 결말이 아닌듯한,2,negative
잘 읽었어요,4,positive
흥미로워서 구매했습니다~~,2,negative
기대됩니다,5,positive
잘 읽었습니다,2,negative
잘 읽었습니다.,3,neutral
대여기간 만료로 못 읽었어요ㅠ,3,neutral
잘 봤습니다~,4,positive
크게 재밌지는 않지만 가볍게 읽기 좋음,3,neutral
잘 읽었습니다.,5,positive
잘봤어요,3,neutral
마음의 철옹성을 무너뜨리는 공감이 주는 힘 서로의 마음이 열리고 타인을 알아가는 방법일것이,5,positive
생각이 많아지는 책,3,neutral
도저히못읽겠음 서평남긴것도처음 다못읽는책도처음,1,negative
글과그림이 이뻐요~,4,positive
처음 몇개의 시는괜ㅊ찮았는데 중간도 가지못해서 이 무슨 소린가 싶었음.. 진심 돈아깝다,1,negative
차분해요,3,neutral
"좋은 시예요.
하루 하나 읽고 또 읽고 너무 좋아요",5,positive
새책샀는데 헌책산줄 알았네요~책 겉표지가 젖고 얼룩져있어요 당황스럽네요~,1,negative
저는 조금 별로였지만 내용자체는 좋아요!!,2,negative
선물로 구입했습니다. 받는분도 마음이 따뜻해지시길~,3,neutral
"어떤시는 좋고 어떤건 별로고..시인 한명이 쓴거보다
시선집이 더 나을거 같아요",3,neutral
good~,5,positive
읽어보니 괜찮네요. 딸애도 대기하고 있어욥,4,positive
조금 마음이 무거워지는 책.. ㅠㅠ,3,neutral
인간관계에 문제를 느끼고 있는 사람에게는 좋을 수 있는 책입니다.,4,positive
저한텐 조금 지루했어요.,3,neutral
관계에 도움이 됩니다,5,positive
내용이 너무 가벼워요. 사례에 공감이 안되고 해결책이 유용하다는 생각도 안듦.,2,negative
그럭저럭,3,neutral
"정말 너무 뻔하고, 의미없는 내용이라 구매 괜히 했다 싶었어요.",1,negative
깊이는 없는 책,2,negative
"난해하고, 상식에 어긋난 이야기",1,negative
에쿠니의 세상은 넓어요.,3,neutral
역시는 역시. 에쿠니 가오리 좋아해서 재미있게 봤어요.,5,positive
새로운 시각..,3,neutral
제목 대비 약하네요...,3,neutral
번역이ㅠ 호흡까지 긴 문장이라 잘 읽히질 않음.  그냥 우버만 기억에 남음,2,negative
제목이 너무 거창한 것 같네요. 그냥 프리랜서 얘기입니다.,2,negative
이 주제를 다룬 책 중에 더 좋은 책이 많습니다. 만족스럽지 않습니다.,2,negative
다양한 사례는 흥미로웠지만 아직 한국사회에서 긱경제가 보편화되려면 갈 길이 멀다,2,negative
나는 어떻게 살아야 하고 나의 아이의 미래는 어떻게 대비해야 하는가,4,positive
불안한 미래를 앞에 두고 긱 경제에 대해 알아보고 미래를 대비해볼 수 있어 유익하네요,5,positive
얻을 내용이 없다.,1,negative
한 번쯤 읽어보면 좋은 책,3,neutral
프리랜서인데 10년후 긱경제 속에서 현직업을 어떻게 내다봐야할지 많은 참고가 되었습니다,5,positive
"긱경제의 양면성을 보여주고, 능력을 충분히 갖춰야만 살아남을 수 있음을 암시한다.",3,neutral
"긱경제의 장단점을 알 수 있느나, 미국사례 중심이라서 확 와닿지는 않네요.",3,neutral
긱 경제에 대해 아는데 좋은 책 같습니다.,5,positive
과연 공유경제의 끝은 장미빛인가,4,positive
설레지않으면버려라....물건 감별의 새로운기준을 알게되서 흥미로웠고...  이틀간 열심히,4,positive
표지에 있는 글이 책 전체 내용,1,negative
설레지 않는 물건을 버리는 것부터!,3,neutral
여자도 사람이다.,3,neutral
"생리땜에사냥에서배제되었음, 암내나는서양인은사냥못해서굶어죽었겠네. 말도안되는소리를",1,negative
"간략하게
핵심적인 내용들을 설명하고 있어
매우 유익한 책입니다.",5,positive
잘보겠습니다.,5,positive
처음부터 끝까지 똑같은 소리만 하는 듯하니 요점만 딱 건지면 될 것 같다,3,neutral
새로운 시대에 적응하기 위해 꼭 읽어보고 싶습니다~,5,positive
평생직장이 없는 미래사회의 모습을 생각할때 어떤 비전으로 미래를 준비해야할지 제시해줍니다.,5,positive
추천합니다 좋아요,5,positive
제목이 너무 거창한 것 같네요. 그냥 프리랜서 얘기입니다.,2,negative
제목 대비 약하네요...,3,neutral
다양한 사례는 흥미로웠지만 아직 한국사회에서 긱경제가 보편화되려면 갈 길이 멀다,2,negative
"유투버, 우버등 긱경제의 성장은 과연 우리 사회를 어떻게 변화시킬 것인가 기대됩니다.",5,positive
번역이ㅠ 호흡까지 긴 문장이라 잘 읽히질 않음.  그냥 우버만 기억에 남음,2,negative
얻을 내용이 없다.,1,negative
이 주제를 다룬 책 중에 더 좋은 책이 많습니다. 만족스럽지 않습니다.,2,negative
새로운 시각..,3,neutral
한 번쯤 읽어보면 좋은 책,3,neutral
"긱경제의 양면성을 보여주고, 능력을 충분히 갖춰야만 살아남을 수 있음을 암시한다.",3,neutral
좌파 정책이 민주주의를 지키고있다고 착각시키는 선동 책. 그들을 지지하는 건 정알못들.,1,negative
아 민주제,3,neutral
잘 읽어 보겠습니다..,5,positive
생각보다 더 큰 말의 의미,5,positive
좋아요,3,neutral
"건강한 ""말""을 위해 누구나 한번쯤 읽어보기를 추천하는 책.",5,positive
"반쪽자리 문제의식, 왜 한남은 혐오표현이 될수없는지란 리뷰가 잘 말해준다.",3,neutral
좋아요,3,neutral
혐오표현조차 편가르며 아이러니하게 조장하는책,1,negative
"말이 칼이 될때, 혐오표현에 관한 책 입니다!~",3,neutral
"김치녀는 혐오표현이고
한남 개저씨는 혐오표현이 아닌가요?",3,neutral
어지간하면 나쁜별점 안주는데 이중적인 태도에서 실망,1,negative
많은 사람들이 책을 읽었으면 하는 이유가 된 책.,5,positive
남혐은 없다는 말도 안되는 주장에서부터 에러. 여자깡패한테 강간당하고 정신병원 실려간 친구,1,negative
혐오 표현을 하면서도 그것이 왜 혐오인지 인지하지 못하는 사람들이 읽어야 할 책,5,positive
혐오표현의 정의와 그 문제를 바르게 이해할 수 있는 입문서,5,positive
"줄거리만 봐도;; 
자유대한민국에 사는 평범한 나를 혐오자로 모는것같은..무섭다ㅜ",1,negative
당신이 뭔데 혐오할 자유가 없다고 선언합니까? 누가 당신에게 그럴 권리를 줬습니까?,1,negative
분량이 너무 적고 가벼운 내용이였어요.. 위안삼고싶어서 읽었는데 개인적으로 별로였습니다.,2,negative
분량이 너무 적습니다. 돈 주고 사서 읽기엔 좀..,2,negative
"정신과마다 정말 다양한 곳이 있구나, 내게 맞는 곳 찾는것도 중요하구나 정도?분량은 적음",3,neutral
나이 먹고 오랜만에 다시 만난 친구의 지난 이야기를 듣는 것 같은 책.,5,positive
상투적이고 일반적인 내용의 책이 아니어서 좋았어요. 이런책이 많아져야한다고 생각해요.,3,neutral
우울함조차 위트 있게 풀어낸 그야말로 매력적인 책.,5,positive
재밋게 잘 읽었습니다,4,positive
재미있었어요,5,positive
흥미로워요,2,negative
"재밌는 부분도 있지만, 경영주 입장에서 보면 나같은 소비자도 진상이겠구나!",2,negative
무난,3,neutral
잘 봤습니다,3,neutral
재미없어요,1,negative
재미있어요,5,positive
가볍게 읽기 좋네요,3,neutral
잘봤어요,3,neutral
장사든 인생이든 정답은 없다. 하지만 저자의 장사관은 도저히 공감하기 어려운 부분이 많다.,2,negative
"아들에게 선물해준 책이라
저는 내용을 모르겠네요^^;
제목과 미리보기를 보니 재미있을듯..",3,neutral
넘 재밌어요,5,positive
잘읽었어요,5,positive
서 있는 곳이 다르면 바라보는 풍경도 다르다,1,negative
좋아요,3,neutral
몰랐던 내용들이 많아 흥미진진하네요,5,positive
손님에게 별명을 붙인것도 좀 그런데 ㅇㅇ녀라는 표현에 아 잘못 골랐네싶고. 거기에 아재개그,1,negative
로맹가리 팬으로 모든 저서를 정주행 중인데 너무 기대됩니다.,5,positive
잘봤습니다,3,neutral
선생님 대체 이게 무슨 글인가요 3천명 독자들도 등을 돌리게 하는 책인데요,2,negative
"시간 가는 줄 모르고 읽었어요. 
비움이 채움임을.",5,positive
번역이 좋지 않습니다. 좋은 책인 것 같은데 많이 아쉬워요.,2,negative
잘 읽었습니다,3,neutral
번역 많이 별로입니다 출판사와 번역가 반성하세요,1,negative
좋은 책인가? 읽어 내기가 쉽지는 않다. 읽는 내내 신경 곤두세워야 함.,3,neutral
데이터 리터러시를 통한 플랫폼 구축이 필요하다.  데이터를 활용하는 방법을 알면 답이 보인,3,neutral
원서내용은 분명 좋을것같은데 번역이 개판. 한국어 맞나요?,1,negative
글로벌 쇼핑트랜드와 미래에 대한 탁월한 전망을 만나봅니다.,5,positive
가장 혁신에 선도적인 플랫폼 기업들의 정쟁. 그들의 전략과 기술의 이야기. 참 흥미롭다,5,positive
"어렵지만 좋은책 선정하여 독서토론 모임하고 있습니다.
독서토론을 마친 소감 기대됩니다...",4,positive
4차혁명. FANG의 미래을 잘 정리한 책입니다.,3,neutral
생각보다 그저 그러함. 익히 유명한 4대기업에 대해.기존 널리알려져있는 내용 정리한 수준.,2,negative
좋아요,3,neutral
잔잔해요,3,neutral
잘 읽었습니다,3,neutral
여러모로 복이 많은 분이라 생각하며 책방 기행문을 읽었습니다.,2,negative
읽으면서 같이 책방을 사랑하게 되는 책,5,positive
얼굴만 이쁜게 아니라 글도 이쁘다,4,positive
"그토록 하고싶었던 일, 진작 할껄 했던 일은 왜 알바한테 맡기고 다시 방송일 하시는거에요?",1,negative
제가 기대를 너무 많이 했던건지 글쎄요.....,1,negative
좋은 책들이 얼마나 많은데.....,2,negative
좋습니다 책에 나오는책들을 더 읽어보고싶어요,5,positive
"책 좋아하는 아나운서, 책방 주인이 되다.",5,positive
속지가 핑크색 그라데이션으로 참 예뻐요,4,positive
작가의 유명세가 아니었다면 베스트셀러에 오르기 어려웠을 책,2,negative
"선물하기 좋은 책입니다
또 선물하려고 구매합니다",3,neutral
그냥 신혼일기 프로그램의 연장이네요 그냥 신.혼.일.기...ㅠㅠ,3,neutral
기대가 커서 그랬던건지..생각보다 별로였음,2,negative
글을 다소 현학적으로 꼬아 쓴 경향이 없지않나 싶다.,3,neutral
표지와 제목의 이 찰떡을 보라!,5,positive
역설적인 제목을 잘 정하는...,3,neutral
술술 읽히고 생각할꺼리도 줍니다.,5,positive
내용보단 제목이 좋은책,3,neutral
다시 읽어도 참 좋은 글들.,5,positive
생각할  거리는  많이  제시하는데  딱히  피부에 와닿는 실용적  지혜는  옥의  티,3,neutral
"유머와 진중함이 잘 어울어져 있고, 깊이가 있으며 글솜씨가 매우 뛰어나다",4,positive
낚여서 샀,2,negative
"글쎄 유쾌하지도 별 인상깊지도 않는 그런책
이책을 읽는내내 화가나는건 왜일까?
후회스럽다",1,negative
"저는 자정에도 생각합니다.ㅎㅎ
좋은 책입니다.",5,positive
좋다과 해서 읽어보았으나 저는 별로,1,negative
황량한 느낌이네요.. 제목에 큰 기대를 가졌지만 얼마 읽지 읺은 지금까지의 느낌입니다..,2,negative
교수님 전도연이 어디 있어요..,4,positive
정치사상이 들어가 있어서 읽기 거북했다,1,negative
기대보다는 못 합니다.,3,neutral
나름 재미있었어요,3,neutral
읽을수록 “이 작가 뭐지..”란 생각으로 놀람의 연속,5,positive
기대해봅니다..,3,neutral
생각보다 별로인데.주제도 산만하고 정치적으로 편향된거 같고.. 위트?? 모르겠는데?,2,negative
ㅈㄹㄷ,1,negative
저자의 방대한 조사자료가 단단한 토대가 되어 켜켜이 쌓여있는 전라도 이야기,4,positive
역사 이야기가 장황해서 정리가 쉽지 않습니다.,3,neutral
잘봤습니다,2,negative
잘읽었어요,3,neutral
이책은 객관적이며 추상적으르 생각하는 힘을 기르게 하는 역할을 한다.,5,positive
작가가 독자에게 건네고 싶었던 메세지를 납득하기에는 인물에게서 너무 큰 불편함을 느꼈다.,2,negative
최고.... 책과 담쌓은 아이도 읽는 책,5,positive
"자극적인 제목, 전형적인 인물들과 사건. 책장은 잘 넘어가나 일독을 권하지 않음.",2,negative
제목만 보면 미움을 조장하는 책을까 했는데 진실 왜곡하는 현실에 대한 것이였음..,4,positive
사람들은 진실보다 카더라 소문을 사실화한다는 점이 무섭네요,3,neutral
읽는 동안 흥미진진하긴 한데 주제에 비해 쓸데 없는 내용들을 너무 많이 추가한 느낌..,3,neutral
뇌의 분야는  무궁무진한거 같네요,2,negative
현대 심리학계의 거장인 아트 마크먼 교수의 질문과 응답으로 이루어져 있어서 신뢰가 갑니다.,5,positive
일상생활과 관계된 40개의 질문을 통해 뇌의 비밀과 인간심리의 다양한 면모를 살펴본 책,3,neutral
이런 책을 사는사람이 있다는게 신기할 따름,1,negative
"읽어갈수록, 글의 텐션이 떨어지는. . .@@
요즘 좀 산만하신듯.",3,neutral
신해철 때문에 사야하나..,2,negative
영화얘기가 많아서 읽기가 힘들었어요. 봤어야 이해를 할텐데,2,negative
"허지웅의 영화이야기...
그가 좋다.
그의 글이 좋다.",5,positive
본인 이야기도 잘 읽히고 평론가로서의 영화 이야기도 좋았다. 편집(구성)이 허접해서 아쉽.,4,positive
가볍게 한 챕터씩 읽기 좋아요~~,3,neutral
나의 친애하는 적은 누굴까,1,negative
재미없어,1,negative
공감가는 부분이 많다 영화 얘기가 있어서 내가 몰랐던 이야기를 새롭게 알게되는 것도 좋다,5,positive
솔직.담백한 글이네요.,3,neutral
지웅님책 다 가지고있고 읽었습니다. 타인의 시선을 느끼지 않는 글이 항상 용기를 줍니다,5,positive
허지웅책 재밌는데 영화얘기가너무많음,3,neutral
세상을 향해 내는 목소리가 인상깊었습니다.,3,neutral
도서관에서 30페이지정도 읽고나서 에세이 소재가 너무좋고 잘읽히기에 바로 구매했습니다!,4,positive
읽을만한책이네요,3,neutral
잘읽었습니다~^^,4,positive
개인적 회고가 많습니다.,2,negative
집중도가 떨어지네요,3,neutral
삶을 어떻게 살아야하는지 고민해보게 하는 책이다,5,positive
뭔가 마음이 평온이 찾아온듯하네요‥,5,positive
부모님이 즐겨 보십니다. ^^,3,neutral
20대에게는 조금...:),2,negative
자서전이네요 읽다가 멈췄네요,1,negative
교회에서 목사님 설교듣는 느낌이 들어 좀 거부감이 들었습니다. 여성이야기도 불편,2,negative
서점에서 훑어 읽기라도 해보시고 구매하는걸 권해드립니다. 저는 잘 읽고 있습니다.,2,negative
90세 철학자의 자서전 남에게 베풀고 희생하는 사랑이 행복이라는 가르침,3,neutral
넉두리 같은 책,3,neutral
철학서가 아닌 자서전입니다,3,neutral
그냥 그렇습니다 빌려서 한번 정도는 읽어볼만 합니다,1,negative
기대가 많이 됩니다 무엇으로 감동을 받을런지요...,5,positive
현자의 글,5,positive
유익하네요,5,positive
선물해드렸는데 작가님이 이런 글을 쓰시다니 너무 놀랍다며 흥미롭게 읽으신 듯합니다.,5,positive
.,2,negative
그다지 추천하고 싶지 않다. 특히 기독교인이 아니라면...,3,neutral
고생스럽지만 축복받았던 전후세대 선배님의 나의 현실과는 조금 먼 듯한 이야기,2,negative
기대만큼은 아닌듯,3,neutral
다행히 책 좋아요***,5,positive
